Feature,Gini_Score,Purity,Rank
SMIM15,0.9928057553956835,0.007194244604316502,32
SREK1IP1,0.9928057553956835,0.007194244604316502,32
COL4A3BP,0.9928057553956835,0.007194244604316502,32
PHAX,0.9928057553956835,0.007194244604316502,32
KIF3A,0.9928057553956835,0.007194244604316502,32
FAM53C,0.9928057553956835,0.007194244604316502,32
HARS,0.9928057553956835,0.007194244604316502,32
ADRB2,0.9928057553956835,0.007194244604316502,32
RBM22,0.9928057553956835,0.007194244604316502,32
G3BP1,0.9928057553956835,0.007194244604316502,32
CNOT8,0.9928057553956835,0.007194244604316502,32
RMND5B,0.9928057553956835,0.007194244604316502,32
HNRNPAB,0.9928057553956835,0.007194244604316502,32
HNRNPH1,0.9928057553956835,0.007194244604316502,32
LINC00847,0.9928057553956835,0.007194244604316502,32
SOX4,0.9928057553956835,0.007194244604316502,32
RPP21,0.9928057553956835,0.007194244604316502,32
RPL7L1,0.9928057553956835,0.007194244604316502,32
LYRM2,0.9928057553956835,0.007194244604316502,32
UFL1,0.9928057553956835,0.007194244604316502,32
AMD1,0.9928057553956835,0.007194244604316502,32
MALSU1,0.9928057553956835,0.007194244604316502,32
GGCT,0.9928057553956835,0.007194244604316502,32
AOAH,0.9928057553956835,0.007194244604316502,32
HUS1,0.9928057553956835,0.007194244604316502,32
NSUN5,0.9928057553956835,0.007194244604316502,32
ZNF394,0.9928057553956835,0.007194244604316502,32
TAF6,0.9928057553956835,0.007194244604316502,32
HBP1,0.9928057553956835,0.007194244604316502,32
ZNF277,0.9928057553956835,0.007194244604316502,32
GIMAP5,0.9928057553956835,0.007194244604316502,32
NUB1,0.9928057553956835,0.007194244604316502,32
TSPYL2,0.9928057553956835,0.007194244604316502,32
MAGED2,0.9928057553956835,0.007194244604316502,32
PDZD11,0.9928057553956835,0.007194244604316502,32
HNRNPH2,0.9928057553956835,0.007194244604316502,32
ARMCX3,0.9928057553956835,0.007194244604316502,32
TCEAL3,0.9928057553956835,0.007194244604316502,32
ALG13,0.9928057553956835,0.007194244604316502,32
XIAP,0.9928057553956835,0.007194244604316502,32
HTATSF1,0.9928057553956835,0.007194244604316502,32
CTSB,0.9928057553956835,0.007194244604316502,32
PCM1,0.9928057553956835,0.007194244604316502,32
CHMP7,0.9928057553956835,0.007194244604316502,32
R3HCC1,0.9928057553956835,0.007194244604316502,32
HMBOX1,0.9928057553956835,0.007194244604316502,32
RP11-489E7.4,0.9928057553956835,0.007194244604316502,32
GTF2E2,0.9928057553956835,0.007194244604316502,32
MRPS28,0.9928057553956835,0.007194244604316502,32
FABP5,0.9928057553956835,0.007194244604316502,32
NAPRT1,0.9928057553956835,0.007194244604316502,32
PLEC,0.9928057553956835,0.007194244604316502,32
COMMD5,0.9928057553956835,0.007194244604316502,32
TOPORS-AS1,0.9928057553956835,0.007194244604316502,32
FGD3,0.9928057553956835,0.007194244604316502,32
C9orf89,0.9928057553956835,0.007194244604316502,32
NIPSNAP3A,0.9928057553956835,0.007194244604316502,32
TXN,0.9928057553956835,0.007194244604316502,32
POLE3,0.9928057553956835,0.007194244604316502,32
URM1,0.9928057553956835,0.007194244604316502,32
SURF2,0.9928057553956835,0.007194244604316502,32
PHPT1,0.9928057553956835,0.007194244604316502,32
FBXO18,0.9928057553956835,0.007194244604316502,32
CREM,0.9928057553956835,0.007194244604316502,32
MAPK8,0.9928057553956835,0.007194244604316502,32
PCBD1,0.9928057553956835,0.007194244604316502,32
DNAJC9,0.9928057553956835,0.007194244604316502,32
EIF5AL1,0.9928057553956835,0.007194244604316502,32
TIAL1,0.9928057553956835,0.007194244604316502,32
CSTF3,0.9928057553956835,0.007194244604316502,32
DGKZ,0.9928057553956835,0.007194244604316502,32
MS4A7,0.9928057553956835,0.007194244604316502,32
AP003733.1,0.9928057553956835,0.007194244604316502,32
METTL12,0.9928057553956835,0.007194244604316502,32
ARL2,0.9928057553956835,0.007194244604316502,32
KDM2A,0.9928057553956835,0.007194244604316502,32
REXO2,0.9928057553956835,0.007194244604316502,32
ZNF259,0.9928057553956835,0.007194244604316502,32
TRAPPC4,0.9928057553956835,0.007194244604316502,32
THYN1,0.9928057553956835,0.007194244604316502,32
KDM5A,0.9928057553956835,0.007194244604316502,32
FKBP4,0.9928057553956835,0.007194244604316502,32
ITFG2,0.9928057553956835,0.007194244604316502,32
IFFO1,0.9928057553956835,0.007194244604316502,32
EMG1,0.9928057553956835,0.007194244604316502,32
KRAS,0.9928057553956835,0.007194244604316502,32
ORMDL2,0.9928057553956835,0.007194244604316502,32
ESYT1,0.9928057553956835,0.007194244604316502,32
NUP107,0.9928057553956835,0.007194244604316502,32
YEATS4,0.9928057553956835,0.007194244604316502,32
IKBIP,0.9928057553956835,0.007194244604316502,32
SELPLG,0.9928057553956835,0.007194244604316502,32
FBXO21,0.9928057553956835,0.007194244604316502,32
PXN,0.9928057553956835,0.007194244604316502,32
SPG20,0.9928057553956835,0.007194244604316502,32
SUGT1,0.9928057553956835,0.007194244604316502,32
TM9SF2,0.9928057553956835,0.007194244604316502,32
ABHD13,0.9928057553956835,0.007194244604316502,32
CCNB1IP1,0.9928057553956835,0.007194244604316502,32
OSGEP,0.9928057553956835,0.007194244604316502,32
TOX4,0.9928057553956835,0.007194244604316502,32
PSMB5,0.9928057553956835,0.007194244604316502,32
LGALS3,0.9928057553956835,0.007194244604316502,32
RP11-349A22.5,0.9928057553956835,0.007194244604316502,32
C14orf1,0.9928057553956835,0.007194244604316502,32
TC2N,0.9928057553956835,0.007194244604316502,32
MOAP1,0.9928057553956835,0.007194244604316502,32
IFI27L2,0.9928057553956835,0.007194244604316502,32
RP11-164H13.1,0.9928057553956835,0.007194244604316502,32
CCNK,0.9928057553956835,0.007194244604316502,32
C14orf2,0.9928057553956835,0.007194244604316502,32
