Feature,Gini_Score,Purity,Rank
HLA-DRB1,0.07246376811594202,0.927536231884058,1
HLA-DPA1,0.08405797101449275,0.9159420289855073,2
CD79A,0.1942028985507246,0.8057971014492754,3
CD79B,0.22318840579710142,0.7768115942028986,4
HLA-DQA1,0.3159420289855073,0.6840579710144927,5
HLA-DQB1,0.36811594202898545,0.6318840579710145,6
HLA-DRB5,0.38550724637681155,0.6144927536231884,7
MS4A1,0.4405797101449276,0.5594202898550724,8
TCL1A,0.5304347826086957,0.4695652173913043,9
HLA-DMA,0.6115942028985507,0.3884057971014493,10
ISG20,0.655072463768116,0.344927536231884,11
PLAC8,0.6869565217391305,0.31304347826086953,12
LINC00926,0.736231884057971,0.263768115942029,13
HLA-DQA2,0.7594202898550725,0.24057971014492752,14
SNX3,0.7681159420289855,0.23188405797101452,15
SELL,0.7739130434782608,0.22608695652173916,16
RNASET2,0.7942028985507247,0.20579710144927532,17
VPREB3,0.8,0.19999999999999996,18
HLA-DMB,0.8028985507246377,0.19710144927536233,19
CD69,0.8057971014492753,0.1942028985507247,20
ANAPC16,0.8202898550724638,0.17971014492753623,21
ZFAS1,0.8405797101449275,0.1594202898550725,22
TAGLN2,0.8434782608695652,0.15652173913043477,23
HNRNPK,0.8434782608695652,0.15652173913043477,23
SRSF7,0.8463768115942029,0.15362318840579714,24
HSP90AB1,0.8492753623188406,0.1507246376811594,25
FCER2,0.8608695652173913,0.13913043478260867,26
TUBA1A,0.8695652173913043,0.13043478260869568,27
IGLL5,0.8695652173913043,0.13043478260869568,27
FAM26F,0.8724637681159421,0.12753623188405794,28
SLC25A5,0.88115942028985506,0.11884057971014494,29
ISCU,0.8840579710144928,0.1159420289855072,30
EIF3D,0.8840579710144928,0.1159420289855072,30
UBE2D2,0.8898550724637682,0.11014492753623184,31
PPP1R15A,0.9014492753623189,0.09855072463768111,32
PCBP1,0.9043478260869565,0.09565217391304348,33
PTPRC,0.9072463768115941,0.09275362318840585,34
GPX1,0.9130434782608696,0.08695652173913038,35
PSMB1,0.9130434782608696,0.08695652173913038,35
FOSB,0.9159420289855073,0.08405797101449275,36
CUTA,0.9188405797101449,0.08115942028985512,37
ATP5A1,0.9188405797101449,0.08115942028985512,37
AES,0.9188405797101449,0.08115942028985512,37
COX7A2L,0.9217391304347826,0.07826086956521738,38
HNRNPC,0.9217391304347826,0.07826086956521738,38
SOD1,0.9217391304347826,0.07826086956521738,38
ISG15,0.9246376811594202,0.07536231884057976,39
SRSF3,0.927536231884058,0.07246376811594202,40
PLP2,0.927536231884058,0.07246376811594202,40
NEDD8,0.927536231884058,0.07246376811594202,40
ST13,0.927536231884058,0.07246376811594202,40
UXT,0.9304347826086956,0.06956521739130439,41
RPL39,0.9304347826086956,0.06956521739130439,41
TPI1,0.9304347826086956,0.06956521739130439,41
SPIB,0.9304347826086956,0.06956521739130439,41
SEP15,0.9333333333333333,0.06666666666666665,42
GSTP1,0.9333333333333333,0.06666666666666665,42
SRSF2,0.9333333333333333,0.06666666666666665,42
ICAM3,0.9333333333333333,0.06666666666666665,42
SPCS2,0.936231884057971,0.06376811594202902,43
