Feature,Gini_Score,Purity,Rank
CCL5,0.05128205128205132,0.9487179487179487,1
NKG7,0.1923076923076923,0.8076923076923077,2
GZMK,0.5,0.5,3
GZMA,0.5,0.5,3
CTSW,0.516025641025641,0.48397435897435903,4
CST7,0.5576923076923077,0.4423076923076923,5
CD3E,0.5961538461538461,0.40384615384615385,6
CD99,0.6730769230769231,0.32692307692307687,7
IL7R,0.6923076923076923,0.3076923076923077,8
GZMH,0.7532051282051282,0.2467948717948718,9
ID2,0.7724358974358975,0.22756410256410253,10
DUSP2,0.7916666666666666,0.20833333333333337,11
NFKBIA,0.8076923076923077,0.1923076923076923,12
CD8B,0.8141025641025641,0.1858974358974359,13
GNLY,0.842948717948718,0.15705128205128205,14
CCL4,0.8814102564102564,0.11858974358974361,15
GZMB,0.907051282051282,0.09294871794871795,16
C17orf62,0.9775641025641025,0.022435897435897467,17
SQRDL,0.983974358974359,0.01602564102564097,18
PDCD10,0.9871794871794872,0.012820512820512775,19
IFI27,0.9871794871794872,0.012820512820512775,19
STAMBP,0.9903846153846154,0.009615384615384581,20
ZNF131,0.9903846153846154,0.009615384615384581,20
ID1,0.9903846153846154,0.009615384615384581,20
FHL3,0.9935897435897436,0.0064102564102563875,21
INPP4A,0.9935897435897436,0.0064102564102563875,21
PPBP,0.9935897435897436,0.0064102564102563875,21
TCERG1,0.9935897435897436,0.0064102564102563875,21
NCF1,0.9935897435897436,0.0064102564102563875,21
SNRNP35,0.9935897435897436,0.0064102564102563875,21
NIN,0.9935897435897436,0.0064102564102563875,21
ABCD4,0.9935897435897436,0.0064102564102563875,21
WIPF2,0.9935897435897436,0.0064102564102563875,21
ERN1,0.9935897435897436,0.0064102564102563875,21
ZNF567,0.9935897435897436,0.0064102564102563875,21
S100B,0.9935897435897436,0.0064102564102563875,21
GBP4,0.9967948717948718,0.0032051282051281937,22
RGS18,0.9967948717948718,0.0032051282051281937,22
SDPR,0.9967948717948718,0.0032051282051281937,22
CTNNB1,0.9967948717948718,0.0032051282051281937,22
PPM1M,0.9967948717948718,0.0032051282051281937,22
SPTSSB,0.9967948717948718,0.0032051282051281937,22
MAGEF1,0.9967948717948718,0.0032051282051281937,22
EREG,0.9967948717948718,0.0032051282051281937,22
SPARC,0.9967948717948718,0.0032051282051281937,22
UBLCP1,0.9967948717948718,0.0032051282051281937,22
SFXN1,0.9967948717948718,0.0032051282051281937,22
RMND5B,0.9967948717948718,0.0032051282051281937,22
B3GALT4,0.9967948717948718,0.0032051282051281937,22
SKAP2,0.9967948717948718,0.0032051282051281937,22
TCEAL3,0.9967948717948718,0.0032051282051281937,22
CLN8,0.9967948717948718,0.0032051282051281937,22
MSRA,0.9967948717948718,0.0032051282051281937,22
MTMR9,0.9967948717948718,0.0032051282051281937,22
FDFT1,0.9967948717948718,0.0032051282051281937,22
RAB11FIP1,0.9967948717948718,0.0032051282051281937,22
TMEM55A,0.9967948717948718,0.0032051282051281937,22
DDB2,0.9967948717948718,0.0032051282051281937,22
RBM7,0.9967948717948718,0.0032051282051281937,22
RP11-664D1.1,0.9967948717948718,0.0032051282051281937,22
IFFO1,0.9967948717948718,0.0032051282051281937,22
NR2C1,0.9967948717948718,0.0032051282051281937,22
SBNO1,0.9967948717948718,0.0032051282051281937,22
NCOR2,0.9967948717948718,0.0032051282051281937,22
SUCLA2,0.9967948717948718,0.0032051282051281937,22
TBC1D4,0.9967948717948718,0.0032051282051281937,22
HBA1,0.9967948717948718,0.0032051282051281937,22
CTDNEP1,0.9967948717948718,0.0032051282051281937,22
RAB34,0.9967948717948718,0.0032051282051281937,22
RHOT1,0.9967948717948718,0.0032051282051281937,22
RP13-270P17.3,0.9967948717948718,0.0032051282051281937,22
HSBP1L1,0.9967948717948718,0.0032051282051281937,22
GEMIN7,0.9967948717948718,0.0032051282051281937,22
DDX3Y,0.9967948717948718,0.0032051282051281937,22
ODF3B,0.9967948717948718,0.0032051282051281937,22
