Feature,Gini_Score,Purity,Rank
CD3E,0.4995602462620933,0.5004397537379067,1
IL7R,0.6068601583113457,0.39313984168865435,2
NOSIP,0.6437994722955145,0.3562005277044855,3
AES,0.6534740545294635,0.3465259454705365,4
IFITM1,0.693051890941073,0.306948109058927,5
SOD1,0.6992084432717678,0.3007915567282322,6
SELL,0.7080035180299032,0.29199648197009676,7
TRAF3IP3,0.7458223394898857,0.25417766051011426,8
CD7,0.7510993843447669,0.24890061565523314,9
RARRES3,0.7660510114335972,0.23394898856640278,10
TMEM123,0.7669305189094107,0.23306948109058934,11
CD69,0.7748460861917326,0.22515391380826744,12
GIMAP4,0.7792436235708003,0.22075637642919965,13
LCK,0.7950747581354441,0.20492524186455585,14
ISG20,0.7950747581354441,0.20492524186455585,14
ZFAS1,0.7968337730870713,0.20316622691292874,15
SRSF7,0.7994722955145119,0.20052770448548807,16
IL2RG,0.802990325417766,0.19700967458223395,17
CD2,0.8056288478452067,0.19437115215479328,18
HSP90AB1,0.8056288478452067,0.19437115215479328,18
ANAPC16,0.8056288478452067,0.19437115215479328,18
RGS10,0.8073878627968338,0.19261213720316617,19
YWHAB,0.8126649076517151,0.18733509234828494,20
CD44,0.8161829375549692,0.18381706244503082,21
FYB,0.820580474934037,0.17941952506596304,22
TUBA1A,0.8214599824098505,0.17854001759014948,23
COX6C,0.822339489885664,0.17766051011433603,24
HNRNPK,0.8232189973614776,0.17678100263852237,25
UBXN1,0.8232189973614776,0.17678100263852237,25
VAMP2,0.8232189973614776,0.17678100263852237,25
TAGLN2,0.8258575197889182,0.1741424802110818,26
HNRNPA0,0.8258575197889182,0.1741424802110818,26
RNASET2,0.8258575197889182,0.1741424802110818,26
SRSF3,0.8284960422163589,0.17150395778364114,27
CD99,0.8293755496921724,0.17062445030782758,28
ARL6IP4,0.8355321020228672,0.1644678979771328,29
BTG2,0.8372911169744943,0.16270888302550568,30
PEBP1,0.8399296394019349,0.16007036059806512,31
ATP5O,0.8408091468777484,0.15919085312225156,32
CUTA,0.8425681618293756,0.15743183817062445,33
HIGD2A,0.8434476693051891,0.1565523306948109,34
UXT,0.8460861917326297,0.15391380826737033,35
NEDD8,0.8469656992084433,0.15303430079155667,36
SLC25A5,0.8478452066842568,0.15215479331574322,37
EIF3E,0.8504837291116975,0.14951627088830255,38
FOSB,0.851363236587511,0.148636763412489,39
MZT2B,0.8522427440633246,0.14775725593667544,40
UBE2D2,0.8540017590149516,0.14599824098504843,41
CCND3,0.8601583113456465,0.13984168865435354,42
PLP2,0.86103781882146,0.13896218117853998,43
ST13,0.86103781882146,0.13896218117853998,43
C19orf53,0.8619173262972735,0.13808267370272653,44
PPP1R15A,0.8627968337730871,0.13720316622691286,45
NFKBIA,0.8636763412489006,0.13632365875109942,46
PCBP1,0.8645558487247141,0.13544415127528586,47
PTPRC,0.8663148636763413,0.13368513632365875,48
SAP18,0.8663148636763413,0.13368513632365875,48
ISG15,0.8698328935795954,0.13016710642040463,49
VAMP8,0.8698328935795954,0.13016710642040463,49
GIMAP5,0.8698328935795954,0.13016710642040463,49
COX5B,0.872471416007036,0.12752858399296396,50
PKM,0.872471416007036,0.12752858399296396,50
PRR13,0.8733509234828496,0.1266490765171504,51
PTGES3,0.8733509234828496,0.1266490765171504,51
ISCU,0.8733509234828496,0.1266490765171504,51
DNAJB1,0.8733509234828496,0.1266490765171504,51
ATP5A1,0.8751099384344767,0.12489006156552329,52
PIK3IP1,0.8759894459102903,0.12401055408970973,53
SLC2A3,0.8768689533861038,0.12313104661389618,54
C12orf57,0.8786279683377308,0.12137203166226918,55
MCL1,0.8795074758135444,0.12049252418645562,56
PLAC8,0.8795074758135444,0.12049252418645562,56
ICAM3,0.8803869832893579,0.11961301671064206,57
EIF3D,0.8803869832893579,0.11961301671064206,57
RPL39,0.882145998240985,0.11785400175901495,58
CD27,0.882145998240985,0.11785400175901495,58
COX7A2L,0.8830255057167986,0.11697449428320139,59
CYTIP,0.8830255057167986,0.11697449428320139,59
RGCC,0.8830255057167986,0.11697449428320139,59
TPI1,0.8874230430958663,0.11257695690413372,60
U2AF1,0.8874230430958663,0.11257695690413372,60
PRDX2,0.8891820580474934,0.1108179419525066,61
SPCS1,0.890061565523307,0.10993843447669305,62
NDFIP1,0.890061565523307,0.10993843447669305,62
COX7A2,0.890061565523307,0.10993843447669305,62
C11orf31,0.890061565523307,0.10993843447669305,62
CCR7,0.890061565523307,0.10993843447669305,62
LGALS1,0.890061565523307,0.10993843447669305,62
GYPC,0.8909410729991205,0.10905892700087949,63
PSMB1,0.8909410729991205,0.10905892700087949,63
PPA1,0.8909410729991205,0.10905892700087949,63
CCDC109B,0.8918205804749341,0.10817941952506593,64
PSMB8,0.8918205804749341,0.10817941952506593,64
SRSF2,0.8918205804749341,0.10817941952506593,64
ACTR3,0.8927000879507476,0.10729991204925238,65
LEPROTL1,0.8927000879507476,0.10729991204925238,65
PNISR,0.8935795954265611,0.10642040457343893,66
HNRNPC,0.8935795954265611,0.10642040457343893,66
ARF1,0.8944591029023746,0.10554089709762537,67
